id;Latex;English 1;English 2;English 3
582; \epsilon = y + i \alpha;Epsilon equals y plus i times alpha.;Epsilon is equal to y plus the product of i and alpha.;Epsilon is the sum of y and i multiplied by alpha.
583; x = a + i x;X equals a plus i times x.;X is equal to a plus the product of i and x.;X is the sum of a and i multiplied by x.
584; \delta = \delta + i \eta;Delta equals delta plus i times eta.;Delta is equal to delta plus the product of i and eta.;Delta is the sum of delta and i multiplied by eta.
585; z = c + i y;Z equals c plus i times y.;Z is equal to c plus the product of i and y.;Z is the sum of c and i multiplied by y.
586; z = \delta + i z;Z equals delta plus i times z.;Z is equal to delta plus the product of i and z.;Z is the sum of delta and i multiplied by z.
587; \delta = \gamma + i \gamma;Delta equals gamma plus i times gamma.;Delta is equal to gamma plus the product of i and gamma.;Delta is the sum of gamma and i multiplied by gamma.
588; \alpha = \alpha + i b;Alpha equals alpha plus i times b.;Alpha is equal to alpha plus the product of i and b.;Alpha is the sum of alpha and i multiplied by b.
589; \epsilon = x + i a;Epsilon equals x plus i times a.;Epsilon is equal to x plus the product of i and a.;Epsilon is the sum of x and i multiplied by a.
590; y = \beta + i \gamma;Y equals beta plus i times gamma.;Y is equal to beta plus the product of i and gamma.;Y is the sum of beta and i multiplied by gamma.
591; z = x + i z;Z equals x plus i times z.;Z is equal to x plus the product of i and z.;Z is the sum of x and i multiplied by z.
592; \alpha = \eta + i z;Alpha equals eta plus i times z.;Alpha is equal to eta plus the product of i and z.;Alpha is the sum of eta and i multiplied by z.
593; \epsilon = \beta + i \alpha;Epsilon equals beta plus i times alpha.;Epsilon is equal to beta plus the product of i and alpha.;Epsilon is the sum of beta and i multiplied by alpha.
594; \delta = b + i \epsilon;Delta equals b plus i times epsilon.;Delta is equal to b plus the product of i and epsilon.;Delta is the sum of b and i multiplied by epsilon.
595; \delta = y + i y;Delta equals y plus i times y.;Delta is equal to y plus the product of i and y.;Delta is the sum of y and i multiplied by y.
596; \delta = \zeta + i \eta;Delta equals zeta plus i times eta.;Delta is equal to zeta plus the product of i and eta.;Delta is the sum of zeta and i multiplied by eta.
597; y = a + i a;Y equals a plus i times a.;Y is equal to a plus the product of i and a.;Y is the sum of a and i multiplied by a.
598; \delta = y + i \delta;Delta equals y plus i times delta.;Delta is equal to y plus the product of i and delta.;Delta is the sum of y and i multiplied by delta.
599; a = z + i \eta;A equals z plus i times eta.;A is equal to z plus the product of i and eta.;A is the sum of z and i multiplied by eta.
600; \epsilon = \alpha + i c;Epsilon equals alpha plus i times c.;Epsilon is equal to alpha plus the product of i and c.;Epsilon is the sum of alpha and i multiplied by c.
601; x = z + i \gamma;X equals z plus i times gamma.;X is equal to z plus the product of i and gamma.;X is the sum of z and i multiplied by gamma.
602;\psi(b) = O(\psi(\alpha));Psi of b equals big O of psi of alpha.;The function psi at b is on the order of the function psi at alpha.;Psi evaluated at b is asymptotically bounded by psi evaluated at alpha.
603;\phi(\epsilon) = O(\phi(\epsilon));Phi of epsilon equals big O of phi of epsilon.;The function phi at epsilon is on the order of the function phi at epsilon.;Phi evaluated at epsilon is asymptotically bounded by phi evaluated at epsilon.
604;\phi(\epsilon) = O(h(\epsilon));Phi of epsilon equals big O of h of epsilon.;The function phi at epsilon is on the order of the function h at epsilon.;Phi evaluated at epsilon is asymptotically bounded by h evaluated at epsilon.
605;h(\zeta) = O(\psi(x));H of zeta equals big O of psi of x.;The function h at zeta is on the order of the function psi at x.;H evaluated at zeta is asymptotically bounded by psi evaluated at x.
606;g(\eta) = O(\phi(\eta));G of eta equals big O of phi of eta.;The function g at eta is on the order of the function phi at eta.;G evaluated at eta is asymptotically bounded by phi evaluated at eta.
607;\psi(a) = O(\psi(\eta));Psi of a equals big O of psi of eta.;The function psi at a is on the order of the function psi at eta.;Psi evaluated at a is asymptotically bounded by psi evaluated at eta.
608;f(c) = O(\psi(\beta));F of c equals big O of psi of beta.;The function f at c is on the order of the function psi at beta.;F evaluated at c is asymptotically bounded by psi evaluated at beta.
609;f(z) = O(g(a));F of z equals big O of g of a.;The function f at z is on the order of the function g at a.;F evaluated at z is asymptotically bounded by g evaluated at a.
610;g(\eta) = O(g(\eta));G of eta equals big O of g of eta.;The function g at eta is on the order of the function g at eta.;G evaluated at eta is asymptotically bounded by g evaluated at eta.
611;h(c) = O(\phi(\zeta));H of c equals big O of phi of zeta.;The function h at c is on the order of the function phi at zeta.;H evaluated at c is asymptotically bounded by phi evaluated at zeta.
612;\phi(\delta) = O(h(\alpha));Phi of delta equals big O of h of alpha.;The function phi at delta is on the order of the function h at alpha.;Phi evaluated at delta is asymptotically bounded by h evaluated at alpha.
613;g(\alpha) = O(\psi(\alpha));G of alpha equals big O of psi of alpha.;The function g at alpha is on the order of the function psi at alpha.;G evaluated at alpha is asymptotically bounded by psi evaluated at alpha.
614;\phi(\epsilon) = O(h(c));Phi of epsilon equals big O of h of c.;The function phi at epsilon is on the order of the function h at c.;Phi evaluated at epsilon is asymptotically bounded by h evaluated at c.
615;f(\delta) = O(g(b));F of delta equals big O of g of b.;The function f at delta is on the order of the function g at b.;F evaluated at delta is asymptotically bounded by g evaluated at b.
616;h(\alpha) = O(g(c));H of alpha equals big O of g of c.;The function h at alpha is on the order of the function g at c.;H evaluated at alpha is asymptotically bounded by g evaluated at c.
617;\psi(z) = O(\psi(z));Psi of z equals big O of psi of z.;The function psi at z is on the order of the function psi at z.;Psi evaluated at z is asymptotically bounded by psi evaluated at z.
618;g(\delta) = O(\psi(y));G of delta equals big O of psi of y.;The function g at delta is on the order of the function psi at y.;G evaluated at delta is asymptotically bounded by psi evaluated at y.
619;g(z) = O(g(\alpha));G of z equals big O of g of alpha.;The function g at z is on the order of the function g at alpha.;G evaluated at z is asymptotically bounded by g evaluated at alpha.
620;\phi(\zeta) = O(\psi(\beta));Phi of zeta equals big O of psi of beta.;The function phi at zeta is on the order of the function psi at beta.;Phi evaluated at zeta is asymptotically bounded by psi evaluated at beta.
621;g(\alpha) = O(\psi(\zeta));G of alpha equals big O of psi of zeta.;The function g at alpha is on the order of the function psi at zeta.;G evaluated at alpha is asymptotically bounded by psi evaluated at zeta.
622;\phi(\alpha) = o(g(x));Phi of alpha equals little o of g of x.;The function phi at alpha is equal to the small order of the function g at x.;Phi evaluated at alpha is the little-o notation of g evaluated at x.
623;f(b) = o(f(c));F of b equals little o of f of c.;The function f at b is equal to the small order of the function f at c.;F evaluated at b is the little-o notation of f evaluated at c.
624;h(\eta) = o(h(c));H of eta equals little o of h of c.;The function h at eta is equal to the small order of the function h at c.;H evaluated at eta is the little-o notation of h evaluated at c.
625;f(b) = o(\psi(c));F of b equals little o of psi of c.;The function f at b is equal to the small order of the function psi at c.;F evaluated at b is the little-o notation of psi evaluated at c.
626;h(a) = o(g(z));H of a equals little o of g of z.;The function h at a is equal to the small order of the function g at z.;H evaluated at a is the little-o notation of g evaluated at z.
627;g(x) = o(g(a));G of x equals little o of g of a.;The function g at x is equal to the small order of the function g at a.;G evaluated at x is the little-o notation of g evaluated at a.
628;\phi(c) = o(g(c));Phi of c equals little o of g of c.;The function phi at c is equal to the small order of the function g at c.;Phi evaluated at c is the little-o notation of g evaluated at c.
629;h(\eta) = o(h(\eta));H of eta equals little o of h of eta.;The function h at eta is equal to the small order of the function h at eta.;H evaluated at eta is the little-o notation of h evaluated at eta.
630;\phi(z) = o(g(z));Phi of z equals little o of g of z.;The function phi at z is equal to the small order of the function g at z.;Phi evaluated at z is the little-o notation of g evaluated at z.
631;f(x) = o(f(b));F of x equals little o of f of b.;The function f at x is equal to the small order of the function f at b.;F evaluated at x is the little-o notation of f evaluated at b.
632;g(x) = o(\phi(x));G of x equals little o of phi of x.;The function g at x is equal to the small order of the function phi at x.;G evaluated at x is the little-o notation of phi evaluated at x.
633;g(\epsilon) = o(g(\zeta));G of epsilon equals little o of g of zeta.;The function g at epsilon is equal to the small order of the function g at zeta.;G evaluated at epsilon is the little-o notation of g evaluated at zeta.
634;g(x) = o(f(x));G of x equals little o of f of x.;The function g at x is equal to the small order of the function f at x.;G evaluated at x is the little-o notation of f evaluated at x.
635;f(x) = o(g(b));F of x equals little o of g of b.;The function f at x is equal to the small order of the function g at b.;F evaluated at x is the little-o notation of g evaluated at b.
636;f(c) = o(f(\delta));F of c equals little o of f of delta.;The function f at c is equal to the small order of the function f at delta.;F evaluated at c is the little-o notation of f evaluated at delta.
637;f(\alpha) = o(g(z));F of alpha equals little o of g of z.;The function f at alpha is equal to the small order of the function g at z.;F evaluated at alpha is the little-o notation of g evaluated at z.
638;h(y) = o(\psi(x));H of y equals little o of psi of x.;The function h at y is equal to the small order of the function psi at x.;H evaluated at y is the little-o notation of psi evaluated at x.
639;g(\eta) = o(g(y));G of eta equals little o of g of y.;The function g at eta is equal to the small order of the function g at y.;G evaluated at eta is the little-o notation of g evaluated at y.
640;g(\zeta) = o(f(a));G of zeta equals little o of f of a.;The function g at zeta is equal to the small order of the function f at a.;G evaluated at zeta is the little-o notation of f evaluated at a.
641;\phi(\delta) = o(\omega(\alpha));Phi of delta equals little o of omega of alpha.;The function phi at delta is equal to the small order of the function omega at alpha.;Phi evaluated at delta is the little-o notation of omega evaluated at alpha.
642;\psi(b) = \Theta(\psi(b));Psi of b equals Theta of psi of b.;The function psi at b is equal to the function Theta at psi of b.;Psi evaluated at b is the same as Theta evaluated at psi of b.
643;h(z) = \Theta(h(\eta));H of z equals Theta of h of eta.;The function h at z is equal to the function Theta at h of eta.;H evaluated at z is the same as Theta evaluated at h of eta.
644;\phi(\delta) = \Theta(f(c));Phi of delta equals Theta of f of c.;The function phi at delta is equal to the function Theta at f of c.;Phi evaluated at delta is the same as Theta evaluated at f of c.
645;\omega(y) = \Theta(\omega(\epsilon));Omega of y equals Theta of omega of epsilon.;The function omega at y is equal to the function Theta at omega of epsilon.;Omega evaluated at y is the same as Theta evaluated at omega of epsilon.
646;g(\epsilon) = \Theta(\psi(a));G of epsilon equals Theta of psi of a.;The function g at epsilon is equal to the function Theta at psi of a.;G evaluated at epsilon is the same as Theta evaluated at psi of a.
647;g(b) = \Theta(g(\beta));G of b equals Theta of g of beta.;The function g at b is equal to the function Theta at g of beta.;G evaluated at b is the same as Theta evaluated at g of beta.
648;h(z) = \Theta(h(\beta));H of z equals Theta of h of beta.;The function h at z is equal to the function Theta at h of beta.;H evaluated at z is the same as Theta evaluated at h of beta.
649;f(z) = \Theta(g(c));F of z equals Theta of g of c.;The function f at z is equal to the function Theta at g of c.;F evaluated at z is the same as Theta evaluated at g of c.
650;h(x) = \Theta(g(\eta));H of x equals Theta of g of eta.;The function h at x is equal to the function Theta at g of eta.;H evaluated at x is the same as Theta evaluated at g of eta.
